KEGG Pathway and Enzyme ID	Gene name
	VARS
	KRTAP2-1
	ELF4
	AC037482.2
	ELF4
	AC037482.2
00510+1.3.1.94	SRD5A3
	MBD3L4
	CCR8
00510+1.3.1.94	SRD5A3
	RNF103-CHMP3
	RNF103-CHMP3
	PLEKHG4B
	KRTAP2-3
	ELF4
	PLEKHG4B
	CCR8
	CT47A9
	NLRP14
	PLEKHG4B
	DDAH2
	ARMH3
	MBD3L2
	ARMH3
	OTUB1
	LDLRAD3
	LDLRAD3
	OTUB1
	ARMH3
	LDLRAD3
	NOL4L
	OTUB1
	TIPIN
	OTUB1
	DEFB127
	OTUB1
	DDAH2
	OTUB1
	DDAH2
	SPATA25
	DEFB128
	TIPIN
	NOL4L
	NOL4L
	KCNIP3
	OTUB1
	TIPIN
	NOL4L
04070+2.7.7.41	TAMM41
00564+2.7.7.41	TAMM41
	NOL4L
	HLA-B
	ZSCAN16
	FLRT1
	SLC6A8
	TIPIN
	NOL4L
	OPRL1
	NOL4L
	TAMM41
	NOL4L
	CHMP3
	HLA-B
	TIPIN
	SPACA7
	KCNIP3
	SLC25A38
	SLC6A8
	CHMP3
	SAPCD1
	SPACA7
	HLA-B
	NOL4L
	TAMM41
	SPACA7
	OPRL1
	TIMM22
	KCNIP3
	SPACA7
	OPRL1
	HLA-E
	SLC25A38
	SAPCD1
	SLC25A38
	SLC25A38
	TAMM41
	SLC25A38
	SLC25A38
	CHMP3
04070+2.7.7.41	TAMM41
00564+2.7.7.41	TAMM41
	SLC25A38
	TRBV6-7
	SLC6A8
	SLC25A38
	LENG8
	UBL7
04070+2.7.7.41	TAMM41
00564+2.7.7.41	TAMM41
	ZNF165
	AMTN
	TAMM41
	TRBV7-6
	LENG8
	LENG8
	SLC6A11
	AMTN
	TRBV5-6
	SLC6A8
	TRBV6-8
	SLC6A11
	LENG8
	TMED3
	KRTAP2-4
	LENG9
	TRBV7-7
	SLC6A8
	TRBV5-7
	TMED3
	TRBV7-9
	TMED3
	TMED3
	SLC6A8
	TMED3
	MACROD1
04660+2.7.10.2	BAZ1B
	TRBV13
04660+2.7.10.2	BAZ1B
	TRBV10-3
	TRBV11-3
	TANC1
	TRBV12-3
	MCM10
	TRBV12-4
	MCM10
	ALDH3B2
00710+5.1.3.1	RPEL1
00030+5.1.3.1	RPEL1
00040+5.1.3.1	RPEL1
	TUBB4A
	TRBV12-5
	HNRNPA0
	TRBV14
	MCM10
	TRBV15
	MINAR1
	MCM10
	AP000721.1
	MINAR1
	TUBB4A
	TUBB4A
	TUBB4A
	TRBV16
	TUBB4A
	TRBV17
	ALDH3B2
	RPS9
	COX8A
	ALDH3B2
	NSG2
	RPS9
	TUBB4A
	DENND11
	ALDH3B2
	TUBB4A
	DENND11
	TUBB4A
	ALDH3B2
	TUBB4A
	TUBB4A
	TUBB4A
	IGHV1-69
	TUBB4A
	NSG2
	INA
	MOAP1
	NSG2
	MOAP1
	B4GALT1
	NSG2
	TUBB4A
	NSG2
	B4GALT1
	AGK
	NSG2
	CDKL1
	NPBWR2
	PROC
	CDKL1
	CDKL1
	RPS9
	RPS9
	CDKL1
	AGK
	BCL11A
	HLA-B
	HLA-B
	AGK
	HPS6
	CALR
	CALR
	CALR
	CALR
	AC037482.3
	MARCO
	C6orf118
	MUC12
	MUC12
	MARCO
	MUC12
	BCL11A
	CCDC173
	CCDC173
	DMAC2L
	CCDC173
	BCL11A
	BCL11A
	KRTAP4-8
	KRTAP4-8
	KRTAP4-16
	BCL11A
	KRTAP4-9
	TNNT3
	MYOT
	KRTAP4-11
	KRTAP4-12
	MSH5-SAPCD1
	AL603764.2
	PITPNA
	MYOT
	MSH5-SAPCD1
	TNNT3
	DMAC2L
	DMAC2L
	BCL11A
	TNNT3
	BCL11A
	PITPNA
	BCL11A
	KRTAP29-1
	PITPNA
	MSH5-SAPCD1
	BCL11A
	DMAC2L
	BCL11A
	MYOT
	C10orf120
	ESCO1
	ESCO1
	DMAC2L
	DMAC2L
	ESCO1
	C10orf120
	PCSK7
	BCL11A
	PROC
	PITPNA
	TNNT3
	DMAC2L
	DMAC2L
	PROC
	DMAC2L
	PROC
	BCL11A
	PROC
	PITPNA
	PROC
	PITPNA
	BCL11A
	PROC
	PITPNA
	RDH10
	TNNT3
	BCL11A
	BCL11A
	PROC
	PITPNA
	RDH10
	PITPNA
	TNNT3
	BCL11A
	TNNT3
	TNNT3
	NIPA1
	RDH10
	BCL11A
	PITPNA
	IGHV2-70D
	TNNT3
	SPINK4
	NIPA1
	BCL11A
	TNNT3
	BCL11A
	CMYA5
	TNNT3
	TNNT3
	TNNT3
	TNNT3
	UTRN
	IGHV1-69-2
	SPINK4
	DENND4C
	PCSK7
	PCSK7
	HLA-DOA
	KIAA1217
	DENND4C
	PCSK7
	MMS19
	PCSK7
	NIPA1
	HLA-DOA
	NIPA1
	PCSK7
